?cls	?def	?xrefs
<http://purl.obolibrary.org/obo/CHEBI_33595>	"Any molecule that consists of a series of atoms joined together to form a ring."	"Wikipedia:Cyclic_compound"
<https://www.tib.eu/digitrubber#DIGITRUBBER_000504>	"A qualitative or quantitative analysis performed to determine the amount of a particular constituent in a sample or the biological or pharmacological properties of a drug."@en	
<https://w3id.org/pmd/co/PMD_0050007>		
<https://w3id.org/pmd/co/PMD_0050094>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000281>	"Verbund von zusammenhängenden Aggregaten, die bei normaler Kautschukverarbeitung leicht getrennt werden können"@de	
<https://w3id.org/pmd/co/PMD_0050070>		
<https://w3id.org/pmd/co/PMD_0000585>		
<https://w3id.org/pmd/co/PMD_0200001>		
<http://purl.obolibrary.org/obo/OBI_0100051>	"A material entity that is collected for potential use as an input upon which measurements or observations are performed."@en	
<http://purl.obolibrary.org/obo/CHEBI_23367>	"Any constitutionally or isotopically distinct atom, molecule, ion, ion pair, radical, radical ion, complex, conformer etc., identifiable as a separately distinguishable entity."	
<http://purl.obolibrary.org/obo/CHEBI_23367>	"Any constitutionally or isotopically distinct atom, molecule, ion, ion pair, radical, radical ion, complex, conformer etc., identifiable as a separately distinguishable entity."@en	
<https://w3id.org/pmd/co/PMD_0001015>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000313>		
<https://w3id.org/pmd/co/PMD_0000561>		
<http://purl.obolibrary.org/obo/CHEBI_33304>	"Any p-block molecular entity containing a chalcogen."@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000100>	"The extrusion throughput indicates how many kilograms of material are extruded in a given unit of time."@en	
<http://purl.obolibrary.org/obo/BFO_0000023>	"A realizable entity  the manifestation of which brings about some result or end that is not essential to a continuant  in virtue of the kind of thing that it is but that can be served or participated in by that kind of continuant  in some kinds of natural, social or institutional contexts."@en	
<http://purl.obolibrary.org/obo/CHEBI_25805>	"A chalcogen that has formula O."	
<https://w3id.org/pmd/co/PMD_0050008>		
<https://w3id.org/pmd/co/PMD_0000017>		
<http://purl.obolibrary.org/obo/CHEBI_27698>	"A vanadium group element atom that has formula V."	
<https://w3id.org/pmd/co/PMD_0050093>		
<https://w3id.org/pmd/co/PMD_0000562>		
<http://purl.obolibrary.org/obo/BFO_0000019>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000282>	"Starre Gruppe von koaleszierten Partikeln, welche die kleinste Einheit ist, die bei normaler Kautschukverarbeitung dispergiert werden kann"@de	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000095>	"Control variable for setting the temperature of the tool."@en	
<https://w3id.org/pmd/co/PMD_0000586>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000445>		
<http://purl.obolibrary.org/obo/OBI_0000014>	"a regulatory role involved with making and/or enforcing relevant legislation and governmental orders"@en	
<https://w3id.org/pmd/co/PMD_0000780>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000469>		
<https://w3id.org/pmd/co/PMD_0001014>		
<http://purl.obolibrary.org/obo/NCIT_C25518>	"The normal action performed by a structure or device."@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000421>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000554>		
<http://purl.obolibrary.org/obo/CHEBI_28798>	"A polymer consisting of cis-linked prenyl units."@en	"KEGG:C02321"
<https://www.tib.eu/digitrubber#DIGITRUBBER_000205>	"The quantity of a substance per unit volume or weight; a measure of the amount of substance present in a unit amount of mixture, particularly, the amount of solute dissolved in a solvent. The amounts can be expressed as moles, masses, volumes, or parts. (ncit defined)"@en	
<http://purl.obolibrary.org/obo/OBI_0000371>	"A heat function is a function that increases the internal kinetic energy of a material"@en	
<http://purl.obolibrary.org/obo/CHEBI_25195>	"A zinc group element atom that has formula Hg."	
<https://w3id.org/pmd/co/PMD_0000915>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000515>	"An assay with the objective to produce information about the viscosity of the material entity that is the evaluant, by physically examining it or its proxies."@en	
<https://w3id.org/pmd/co/PMD_0000806>		
<https://w3id.org/pmd/co/PMD_0000939>		
<http://purl.obolibrary.org/obo/CHEBI_59999>	"A chemical substance is a portion of matter of constant composition, composed of molecular entities of the same type or of different types."@en	
<https://w3id.org/pmd/co/PMD_0050009>		
<http://purl.obolibrary.org/obo/digitrubber/digitrubber-full.owl/DIGITRUBBER_1000027>	"In physical testing, it refers to a deformation regime in which layers of fluid or solid are forced to move parallel to each other."@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000574>	"that component of an applied shear stress which is in phase with the shear strain, divided by the strain"@en	
<https://w3id.org/pmd/co/PMD_0050092>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000584>	"Typ eines Rheometers, bei welchem die Kraft, die auf die Kautschukmischung einwirkt, durch die Oszillation einer von zwei Platten erzeugt wird, die die Kammer bilden, in welcher die Testprobe eingeschlossen ist"@de	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000587>	"flache Metallplatte (oder Schale), die Hitze und Druck auf ein oder mehrere Formteile überträgt, die sich in einer Presse befinden"@de	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000648>	"Is a family of fluorocarbon-based fluoroelastomer materials that contain vinylidene fluoride as a monomer."@en	
<https://w3id.org/pmd/co/PMD_0020080>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000329>	"Trade name for a specific zinc dibenzyldithiocarbamate"@en	
<http://purl.obolibrary.org/obo/NCIT_C84383>	"An array of entities, such as light waves or particles, ordered in accordance with the magnitudes of a common physical property, such as wavelength or mass."@en	
<http://purl.obolibrary.org/obo/OBI_0000571>	"Manufacturer role is a role which inheres in a person or organization and which is realized by a manufacturing process."@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000400>		
<http://purl.obolibrary.org/obo/CHEBI_33368>	"A copper group element atom with atomic number 111. The the ninth member of the 6d series of transition metals, it is an extremely radioactive, synthetic element. Average mass is around 281."	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000339>		
<http://purl.obolibrary.org/obo/digitrubber/digitrubber-full.owl/DIGITRUBBER_1000004>	"Polymer (e.g. BR, SSBR) before being compounded."@en	
<http://www.ontology-of-units-of-measure.org/resource/om-2/Length>	"Length is the amount of space between two geographical points along a curve. It is a base quantity in the International System of Units and other systems of units. Length is speed times time. The metre, a base unit of length in the International System of Units, is defined in terms of speed of light during a certain time interval."@en	
<https://w3id.org/pmd/co/PMD_0000916>		
<https://w3id.org/pmd/co/PMD_0000807>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000489>	"ein oder mehrere Teile, entnommen aus einem Los, um Informationen über dieses Los zu liefern und möglicherweise als Entscheidungsbasis über das Los oder seinen Herstellprozess zu dienen"@de	
<http://purl.obolibrary.org/obo/CHEBI_25107>	"An alkaline earth metal atom that has formula Mg."	
<https://w3id.org/pmd/co/PMD_0050091>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000391>	"drop door temperature control unit"@en	
<https://w3id.org/pmd/co/PMD_0020081>		
<http://purl.obolibrary.org/obo/OBI_0200041>	"A k-means clustering is a data transformation which achieves a class discovery or partitioning objective, which takes as input a collection of objects (represented as points in multidimensional space) and which partitions them into a specified number k of clusters. The algorithm attempts to find the centers of natural clusters in the data. The most common form of the algorithm starts by partitioning the input points into k initial sets, either at random or using some heuristic data. It then calculates the mean point, or centroid, of each set. It constructs a new partition by associating each point with the closest centroid. Then the centroids are recalculated for the new clusters, and the algorithm repeated by alternate applications of these two steps until convergence, which is obtained when the points no longer switch clusters (or alternatively centroids are no longer changed)."@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000477>	"chemical bond or atom(s) joining two rubber chains or two parts of the same rubber chain as a result of vulcanization"@en	
<https://w3id.org/pmd/co/PMD_0000580>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000556>		
<http://purl.obolibrary.org/obo/CHEBI_18248>	"An iron group element atom that has atomic number 26."	
<http://purl.obolibrary.org/obo/OBI_0200042>	"A hierarchical clustering is a data transformation which achieves a class discovery objective, which takes as input data item and builds a hierarchy of clusters. The traditional representation of this hierarchy is a tree (visualized by a dendrogram), with the individual input objects at one end (leaves) and a single cluster containing every object at the other (root)."@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000559>	"Number of grams of iodine adsorbed per kilogram of carbon black under specified conditions"@en	
<https://w3id.org/pmd/co/PMD_0000917>		
<https://w3id.org/pmd/co/PMD_0000808>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000330>	"Mischungsbestandteil, der die Vernetzung des Kautschuks bewirkt"@de	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000089>	"Control variable that indicates how high the speed of the screw is during extrusion."@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000295>	"solid compounding ingredient, in particulate form, which may be added in relatively large proportions to a rubber or rubber latex for technical or economic purposes"@en	
<http://purl.obolibrary.org/obo/CHEBI_30430>	"A metallic element first identified and named from the brilliant indigo (Latin indicum) blue line in its flame spectrum."	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000587>	"flat metal plate (or chest) which applies heat and pressure to one or more mould(s) in a press"@en	
<https://w3id.org/pmd/co/PMD_0050090>		
<https://w3id.org/pmd/co/PMD_0020082>		
<http://purl.obolibrary.org/obo/NCIT_C53322>	"A measure of the range of values in a set of numbers. Standard deviation is a statistic used as a measure of the dispersion or variation in a distribution, equal to the square root of the arithmetic mean of the squares of the deviations from the arithmetic mean. (ncit defined)"@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000117>	"A cost group for the total sales value generated in a time period X by the system under investigation"@en	
<https://w3id.org/pmd/co/PMD_0000581>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000535>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000063>	"Online characterisation is the characterization of the material properties during the process and on the real process line in order to be able to react to fluctuations during production."@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000426>		
<https://w3id.org/pmd/co/PMD_0001019>		
<http://purl.obolibrary.org/obo/IAO_0000104>	"A directive information entity with action specifications and objective specifications as parts, and that may be concretized as a realizable entity that, if realized, is realized in a process in which the bearer tries to achieve the objectives by taking the actions specified."@en	
<https://w3id.org/pmd/co/PMD_0000809>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000492>	"Körper eines Materials von geeigneter Form und Dimension, fertig vorbereitet zur Verwendung in einer Prüfung"@de	
<https://w3id.org/pmd/co/PMD_0000918>		
<https://w3id.org/pmd/co/PMD_0020083>		
<http://purl.obolibrary.org/obo/CHEBI_33359>	"A cobalt group element atom of atomic number 45."	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000425>		
<http://purl.obolibrary.org/obo/CHEBI_84291>	"An organic anion in which the charge resides on a sulfur atom."@en	
<https://w3id.org/pmd/co/PMD_0000582>		
<http://purl.obolibrary.org/obo/CHEBI_33376>	"A lanthanoid atom that has formula Tb."	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000143>	"The amount of electricity (kw/h) that is consumed by all entities in the system under investigation. Constitutes a factor of the energy cost, storage cost and production cost group."@en	
<https://w3id.org/pmd/co/PMD_0001018>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000488>	"state of vulcanization less than the optimum cure"@en	
<https://w3id.org/pmd/co/PMD_0000919>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000449>		
<http://purl.obolibrary.org/obo/OBI_0000017>	"a role which inheres in material entities and is realized in the processes of making, enforcing or being defined by legislation or orders issued by a governmental body."@en	
<http://purl.obolibrary.org/obo/OBI_0000457>	"Manufacturing is a process with the intent to produce a processed material which will have a function for future use. A person or organization (having manufacturer role) is a participant in this process"@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000333>	"Mischungsbestandteil, eingesetzt zur Verringerung der Tendenz einer Kautschukmischung, vorzeitig zu vulkanisieren"@de	
<https://w3id.org/pmd/co/PMD_0000567>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000322>	"Trade name for a specific di(benzothiazol-2-yl)disulfide"@en	
<https://w3id.org/pmd/co/PMD_0000870>		
<https://w3id.org/pmd/co/PMD_0000894>		
<https://w3id.org/pmd/co/PMD_0000543>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000332>	"rate at which a rubber compound vulcanizes after having reached the point of incipient vulcanization"@en	
<https://w3id.org/pmd/co/PMD_0000785>		
<https://w3id.org/pmd/co/PMD_0000652>		
<https://w3id.org/pmd/co/PMD_0020101>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000399>		
<http://purl.obolibrary.org/obo/OBI_0000272>	"A plan specification which has sufficient level of detail and quantitative information to communicate it between investigation agents, so that different investigation agents will reliably be able to independently reproduce the process."@en	
<http://purl.obolibrary.org/obo/digitrubber/digitrubber-full.owl/DIGITRUBBER_1000000>	"Average molecular weight of the chains of a polymer, weighted by the mass of each chain (2nd moment of the molecular weight)"@en	
<http://purl.obolibrary.org/obo/CHEBI_33386>	"An actinoid atom that has formula Pa."	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000413>	"Die Zugabereihenfolge bezieht sich darauf, wie verschiedene Bestandteile oder Substanzen nacheinander oder in einer bestimmten Reihenfolge verabreicht werden, um einen bestimmten Effekt zu erzielen."@de	
<http://purl.obolibrary.org/obo/OBI_0200190>	"A data visualization which has input of a clustered data set and produces an output of a report graph which is capable of rendering data of this type."@en	
<https://w3id.org/pmd/co/PMD_0000786>		
<https://w3id.org/pmd/co/PMD_0000544>		
<https://w3id.org/pmd/co/PMD_0000980>		
<https://w3id.org/pmd/co/PMD_0000871>		
<https://w3id.org/pmd/co/PMD_0000653>		
<https://w3id.org/pmd/co/PMD_0000520>		
<https://w3id.org/pmd/co/PMD_0000895>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000318>	"accelerator used in low concentrations with the primary accelerator to optimize cure rate and vulcanizate properties"@en	
<https://w3id.org/pmd/co/PMD_0020126>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000293>	"Kautschuktyp, der eine ungesättigte Kohlenstoffhauptkette hat, die zumeist auf Butadien oder substituiertem Butadien basiert"@de	
<https://w3id.org/pmd/co/PMD_0020102>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000099>	"The outlet sourface of the extruder gives the extrudate its characteristic geometry."@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000106>	"Cumulative expression for the value of all costs groups within the system under study"@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000398>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000479>	"〈Aktion〉 Erzeugung von Vernetzungen zwischen oder innerhalb von Kautschukketten unter Ausbildung eines Netzwerks"@de	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000644>	"Is a synthetic rubber, a copolymer of isobutylene with isoprene"@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000370>	"radial clearance between the roll surfaces of a mill or calender on a line of centres"@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000048>	"Rubber is an elastic substance made either from the juice of particular tropical trees or artificially. It is raw material for car tires and other technical products."@en	
<https://w3id.org/pmd/co/PMD_0000896>		
<https://w3id.org/pmd/co/PMD_0000654>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000570>		
<http://purl.obolibrary.org/obo/digitrubber/digitrubber-full.owl/DIGITRUBBER_1000007>	"Polymerization is performed in an emulsion where polymer particles (and consequently, crumbs) are carried in a liquid (water) medium."@en	
<https://w3id.org/pmd/co/PMD_0000569>		
<https://w3id.org/pmd/co/PMD_0000981>		
<https://w3id.org/pmd/co/PMD_0000521>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000573>	"ratio of the normal stress to the normal strain, where each can be represented by a complex number"@en	
<https://w3id.org/pmd/co/PMD_0000630>		
<http://purl.obolibrary.org/obo/digitrubber/digitrubber-full.owl/DIGITRUBBER_1000005>	"Rubber polymer with butadiene as its only monomer."@en	
<https://w3id.org/pmd/co/PMD_0020103>		
<https://w3id.org/pmd/co/PMD_0040001>		
<https://w3id.org/pmd/co/PMD_0050119>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000303>	"hydrocarbon process oil, most or all of which is composed of alkanes"@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000265>	"A measure of the amount of variation of a set of values."@en	
<https://www.tib.eu/digitrubber#http://purl.obolibrary.org/obo/NCIT_C948>	"An element with atomic symbol Zn, atomic number 30, and atomic weight 65.39."@en	
<http://purl.obolibrary.org/obo/CHEBI_33373>	"A lanthanoid atom that has formula Pm."	
<https://w3id.org/pmd/co/PMD_0000655>		
<https://w3id.org/pmd/co/PMD_0000522>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000460>		
<https://w3id.org/pmd/co/PMD_0000788>		
<https://w3id.org/pmd/co/PMD_0000546>		
<https://w3id.org/pmd/co/PMD_0000982>		
<https://w3id.org/pmd/co/PMD_0000631>		
<https://w3id.org/pmd/co/PMD_0000873>		
<https://w3id.org/pmd/co/PMD_0020104>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000304>	"Trade name for a specific paraffinic oil"@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000135>	"A person who handles a company's incoming and outgoing raw materials, semi-finished prodcuts as well as finished products, and who manages stocks in the system under investigation. Constitutes an entity of the human ressource and the storage cost group."@en	
<http://purl.obolibrary.org/obo/CHEBI_33346>	"A titanium group element atom that has formula Rf."	
<http://purl.obolibrary.org/obo/CHEBI_25016>	"A carbon group element atom that has formula Pb."	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000285>	"substance composed of molecules characterized by the multiple repetition of one or more species of atoms or groups of atoms (constitutional units) linked to each other in amounts sufficient to provide a set of properties that do not vary markedly with the addition or removal of one or a few of the constitutional units"@en	
<http://purl.obolibrary.org/obo/CHEBI_33250>	"A chemical entity constituting the smallest component of an element having the chemical properties of the element."	
<https://www.tib.eu/digitrubber#http://www.w3.org/ns/sosa/Sensor>	"Device, agent (including humans), or software (simulation) involved in, or implementing, a Procedure. Sensors respond to a stimulus, e.g., a change in the environment, or input data composed from the results of prior Observations, and generate a Result. Sensors can be hosted by Platforms."@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000533>	"A protocol which specifies the conditions, procedures, and instruments used for conducting a measurement assay in a sufficient level of detail to communicate it between investigation agents, so that different investigation agents will reliably be able to independently reproduce the measurement assay."@en	
<http://purl.obolibrary.org/obo/CHEBI_29362>		
<https://w3id.org/pmd/co/PMD_0050118>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000492>	"piece of material of appropriate shape and size, prepared so that it is ready for use in a test"@en	
<http://purl.obolibrary.org/obo/CHEBI_33833>	"A heterocyclic compound formally derived from an arene by replacement of one or more methine (-C=) and/or vinylene (-CH=CH-) groups by trivalent or divalent heteroatoms, respectively, in such a way as to maintain the continuous pi-electron system characteristic of aromatic systems and a number of out-of-plane pi-electrons corresponding to the Hueckel rule (4n+2)."@en	
<https://w3id.org/pmd/co/PMD_0020128>		
<http://purl.obolibrary.org/obo/CHEBI_33375>	"A lanthanoid atom that has formula Gd."	
<http://purl.obolibrary.org/obo/CHEBI_50803>	"A nanosized spherical or capsule-shaped structure."	
<http://purl.obolibrary.org/obo/OBI_0001931>	"A value specification that consists of two parts: a numeral and a unit label"@en	
<https://w3id.org/pmd/co/PMD_0000563>		
<https://w3id.org/pmd/co/PMD_0000587>		
<http://purl.obolibrary.org/obo/IAO_0000015>	"A quality of an information bearer that imparts the information content"@en	
<https://w3id.org/pmd/co/PMD_0020105>		
<https://w3id.org/pmd/co/PMD_0000890>		
<https://w3id.org/pmd/co/PMD_0000781>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000464>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000597>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000355>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000009>	"uppermost layer of the extrudate"@en	
<http://purl.obolibrary.org/obo/CHEBI_36828>		
<http://purl.obolibrary.org/obo/digitrubber/digitrubber-full.owl/DIGITRUBBER_1000003>	"Ratio of Mw to Mn"@en	
<http://purl.obolibrary.org/obo/CHEBI_49696>	"A noble gas atom that has formula Kr."	
<https://w3id.org/pmd/co/PMD_0020129>		
<https://www.tib.eu/digitrubber#http://purl.obolibrary.org/obo/NCIT_C64925>	"To bring or combine together or with something else; add as an additional element or part."@en	
<http://purl.obolibrary.org/obo/PATO_0002182>	"A quality which inheres in a molecular entity, a single molecule, atom, ion, radical etc."@en	
<https://w3id.org/pmd/co/PMD_0000588>		
<http://purl.obolibrary.org/obo/PATO_0000051>	"A quality of a single physical entity inhering in the bearer by virtue of the bearer's size or shape or structure."@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000571>		
<https://w3id.org/pmd/co/PMD_0000782>		
<https://w3id.org/pmd/co/PMD_0000540>		
<https://w3id.org/pmd/co/PMD_0000564>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000125>	"The product that emerges at the end of the production process of the system under study.  Constitutes an entity in the material cost, production cost, and waste management cost group."@en	
<https://w3id.org/pmd/co/PMD_0000891>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000003>		
<http://purl.obolibrary.org/obo/UO_0000016>	"A length unit which is equal to one thousandth of a meter or 10^[-3] m. (uo defined)"	
<http://purl.obolibrary.org/obo/CHEBI_33319>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000301>	"Handelsname für ein spezifischen N600-Ruß"@de	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000300>	"Ein N-Ruß mit einer durchschnittlichen Stickstoff-Oberfläche von 33 bis 39 m²/g."@de	
<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25463>	"Determining the number or amount of something."@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000462>	"An extruder zone in which raw polymer material is introduced into the extruder for subsequent processing."@en	
<http://purl.obolibrary.org/obo/CHEBI_29287>	"A copper group element atom that has formula Au."	
<http://purl.obolibrary.org/obo/CHEBI_36829>		
<https://w3id.org/pmd/co/PMD_0050116>		
<https://w3id.org/pmd/co/PMD_0020106>		
<http://purl.obolibrary.org/obo/CHEBI_33337>	"A scandium group element atom that has formula Ac."	
<http://purl.obolibrary.org/obo/CHEBI_33313>	"A radioactive metallic element discovered in 1898 by Marie Sklodowska Curie and named after her home country, Poland (Latin Polonia)."	
<http://purl.obolibrary.org/obo/OBI_0000070>	"A planned process with the objective to produce information about the material entity that is the evaluant, by physically examining it or its proxies."@en	
<http://purl.obolibrary.org/obo/CHEBI_38106>		
<https://w3id.org/pmd/co/PMD_0000589>		
<http://purl.obolibrary.org/obo/CHEBI_28073>	"A chromium group element atom that has atomic number 24."	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000312>	"Handelsname für ein spezifisches Zinkoxid"@de	
<https://w3id.org/pmd/co/PMD_0000541>		
<http://purl.obolibrary.org/obo/CHEBI_33310>	"A noble gas atom that has formula Ne."	
<https://w3id.org/pmd/co/PMD_0000783>		
<https://w3id.org/pmd/co/PMD_0000650>		
<http://purl.obolibrary.org/obo/CHEBI_33325>	"An alkaline earth metal atom that has formula Ra."	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000430>	"product of an extrusion process"@en	
<https://w3id.org/pmd/co/PMD_0000565>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000181>	"Material that is used to support the structure of rubber-based products (e.g., steel cords). Constitutes an entity subgroup of the raw material entity."@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000466>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000494>	"roher, gemischter, vulkanisierter oder teilweise vulkanisierter Kautschuk, der bei der Produktion ver-worfen oder als Abfall deklariert und für die weitere Verwendung, außer zum Recyceln, als ungeeignet befunden wird"@de	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000631>	"A concentration of ethylene inhering in a substance by virtue of the amount of the bearer's there is mixed with ethylene."@en	
<http://purl.dataone.org/odo/ECSO_00001120>	"the strength of a solution; number of molecules of a substance in a given volume (ecso defined)"@en	
<http://purl.obolibrary.org/obo/CHEBI_30415>	"A halogen that has formula At."	
<https://w3id.org/pmd/co/PMD_0050139>		
<https://w3id.org/pmd/co/PMD_0050115>		
<http://purl.obolibrary.org/obo/IAO_0000009>	"A label is a symbol that is part of some other datum and is used to either partially define  the denotation of that datum or to provide a means for identifying the datum as a member of the set of data with the same label"@en	
<http://purl.obolibrary.org/obo/CHEBI_51446>		
<https://w3id.org/pmd/co/PMD_0000566>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000428>	"rotierendes Glied mit einer oder mehreren helixförmigen Rillen, das verwendet wird, um einen Kautschuk innerhalb eines Extruderrohrs voranzutreiben"@de	
